stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759982,"883","Brevard Rd at WNC Farmers Market","",35.554531,-82.599661,0,,0,,
759983,"884","Brevard Rd at S Bear Creek Rd","",35.558694,-82.598578,0,,0,,
759984,"885","Brevard Rd at I-240","East Exit Ramp",35.562938,-82.594046,0,,0,,
759985,"886","Brevard Rd at Fairfax Ave","",35.565229,-82.594116,0,,0,,
759986,"887","Brevard Rd at High Court Entrance","",35.567095,-82.593308,0,,0,,
759987,"888","Brevard Rd at Morningside St","",35.569123,-82.593482,0,,0,,
759988,"889","Brevard Rd at Meyers Ave","",35.571999,-82.593468,0,,0,,
759989,"890","Brevard Rd at Haywood Rd","",35.576915,-82.593116,0,,0,,
760008,"910","Patton Ave at Druid Dr","",35.585747,-82.60104,0,,0,,
760007,"909","Patton Ave at Parkwood Dr","",35.583875,-82.604308,0,,0,,
760006,"908","Patton Ave at Haywood Rd","",35.583098,-82.605573,0,,0,,
760005,"906","Patton Ave at Rumbough Pl","",35.577648,-82.610061,0,,0,,
760004,"905","Patton Ave at Bear Creek Rd","",35.575408,-82.612964,0,,0,,
760003,"904","Patton Ave at Goodwill","PARK-N-RIDE",35.572103,-82.617444,0,,0,,
760002,"903","Patton Ave at Goodwill","",35.57107,-82.617076,0,,0,,
760001,"902","Patton Ave at Bear Creek Rd","",35.575756,-82.612698,0,,0,,
760000,"901","Patton Ave at Gill St","Rumbough Pl",35.577693,-82.610323,0,,0,,
759999,"900","Patton Ave at Deaverview Rd","",35.580002,-82.608341,0,,0,,
759998,"899","Patton Ave at Johnson Blvd","",35.582973,-82.60628,0,,0,,
759997,"898","Patton Ave at Wilburn Rd","",35.584167,-82.604399,0,,0,,
759996,"897","Patton Ave at Druid Dr","",35.586051,-82.601083,0,,0,,
759995,"896","Patton Ave at New Leicester Hwy","",35.586903,-82.597869,0,,0,,
759694,"583","US 70 Hwy at Grovestone Rd","",35.604514,-82.362202,0,,0,,
759695,"584","US 70 Hwy at Lytle Cove Rd","",35.602053,-82.367881,0,,0,,
759705,"594","US 70 Hwy at Avery Wood Dr","",35.602462,-82.390047,0,,0,,
759696,"585","US 70 Hwy at Whitson Ave","",35.602065,-82.397643,0,,0,,
759697,"586","US 70 Hwy at Patton Cove Rd","",35.600075,-82.403607,0,,0,,
759698,"587","US 70 Hwy at Riverwood Rd","",35.599132,-82.409343,0,,0,,
759699,"588","US 70 Hwy at New Salem Rd","",35.595097,-82.425115,0,,0,,
759700,"589","US 70 Hwy at Refer Ave","",35.593892,-82.429434,0,,0,,
759674,"563","US 70 Hwy at Warren Wilson Rd","",35.592947,-82.436653,0,,0,,
759701,"590","US 70 Hwy at Jims Branch Rd","",35.590573,-82.451975,0,,0,,
759659,"541","US 70 Hwy at Moffitt Branch Rd","",35.583918,-82.464402,0,,0,,
